name,index_sht,prov,prov_no,dist_no,pale,region,no_jew_count,jew_pop,tot_pop,census,type,jewpop_flag,comments,total,total_flag,prov_name,dist_name,lat,lon,display_name,osm_id,wikidata_id,name_he,name_sim,match_status
Novye Kaushany,0303Nv1,Bessarabia,3.0,3.0,Pale,New Russia,0,1675.0,3729.0,1.0,mestechko,,,3729.0,,Bessarabia,Bendery,46.6495405,29.4067719,"Căușeni, Moldova",265099168.0,Q657744,,1.0,matched_refined
Petrovka,0303Pt1,Bessarabia,3.0,3.0,Pale,New Russia,0,611.0,1740.0,1.0,mestechko,,According to Chaga (name of the river as well) I would suggest this destination to it,1740.0,,Bessarabia,Bendery,46.974685,29.0876527,"Mereni, Moldova",12500498226.0,,,0.875,matched_db_api
Romanovka,0303Rm1,Bessarabia,3.0,3.0,Pale,New Russia,0,1142.0,1622.0,1.0,derevnia,,,1622.0,,Bessarabia,Bendery,46.3344133,28.9612962,"Романовка, Basarabeasca, Raionul Basarabeasca, Moldova",13051971319.0,,,1.0,matched_nominatim
Aleksandreny,0304Al1,Bessarabia,3.0,4.0,Pale,New Russia,0,1190.0,1253.0,1.0,koloniia,,,1253.0,,Bessarabia,Bieltsy,47.8103129,28.0837775,"Alexăndreni, Moldova",281161097.0,Q2448236,,1.0,matched_db_api
Bel'tsy,0304Bl1,Bessarabia,3.0,4.0,Pale,New Russia,0,10348.0,18478.0,1.0,Uezdnyi gorod,,,18478.0,,Bessarabia,Bieltsy,47.7623952,27.9286022,"Bălți, Moldova",266185307.0,Q37801,בלץ,1.0,matched_db_api
Buteshty Stavry,0304Bt1,Bessarabia,3.0,4.0,Pale,New Russia,0,108.0,674.0,1.0,selo,,http://ru.wikisource.org/wiki/%D0%A1%D0%B1%D0%BE%D1%80%D0%BD%D0%B8%D0%BA_%D0%B1%D0%BE%D0%B5%D0%B2%D1%8B%D1%85_%D0%B4%D0%BE%D0%BA%D1%83%D0%BC%D0%B5%D0%BD%D1%82%D0%BE%D0%B2/38/062,674.0,,Bessarabia,Bieltsy,47.3,28.91667,Buteshty Stavry (Broneshty),,,,,legacy_coords
Foleshty,0304Fl1,Bessarabia,3.0,4.0,Pale,New Russia,0,4518.0,6672.0,1.0,mestechko,,,6672.0,note_appended,Bessarabia,Bieltsy,47.5735141,27.7068016,"Fălești, Moldova",265099157.0,Q2078085,,0.875,matched_db_api
Korneshty,0304Kr1,Bessarabia,3.0,4.0,Pale,New Russia,0,552.0,2689.0,1.0,selo,,,2689.0,,Bessarabia,Bieltsy,47.3564908,28.0091608,"Cornești, Moldova",262634522.0,Q2452920,,1.0,matched_db_api
Pyrlitsa,0304Py1,Bessarabia,3.0,4.0,Pale,New Russia,0,494.0,722.0,1.0,poselok,,,722.0,,Bessarabia,Bieltsy,47.7395891,27.8023661,"Pîrlița, Moldova",18967765.0,,,0.8,matched_reverse
Ryshkonovka,0304Ry1,Bessarabia,3.0,4.0,Pale,New Russia,0,2247.0,3246.0,1.0,mestechko,,,3246.0,,Bessarabia,Bieltsy,47.9535987,27.5514453,"Rîșcani, Moldova",265099150.0,Q1022131,,1.0,matched_refined
Skuliany,0304Sk1,Bessarabia,3.0,4.0,Pale,New Russia,0,1555.0,3375.0,1.0,mestechko,,,3375.0,,Bessarabia,Bieltsy,47.3140503,27.605704,"Sculeni, Victoria, Zona Metropolitană Iași, Iași, 707584, România",2028965166.0,Q12153433,,0.8,matched_nominatim
Ungeny,0304Un1,Bessarabia,3.0,4.0,Pale,New Russia,0,997.0,1693.0,1.0,poselok,,,1693.0,,Bessarabia,Bieltsy,47.2059965,27.798917,"Ungheni, Moldova",261076253.0,Q858713,אונגני,1.0,matched_refined
Valialui Vlad,0304Vl1,Bessarabia,3.0,4.0,Pale,New Russia,0,1318.0,1349.0,1.0,koloniia,,,1349.0,,Bessarabia,Bieltsy,47.4822493,28.1268665,"Valea lui Vlad, Dumbrăvița, Raionul Sîngerei, Moldova",281159656.0,Q4103165,,0.963,matched_nominatim
Bolgrad,0305Bl1,Bessarabia,3.0,5.0,Pale,New Russia,0,1196.0,12300.0,1.0,zashtatnyi gorod,,A Gorod with less than 10% Jews (number of Jews is from Guberniyas volumes),12300.0,,Bessarabia,Izmail,45.6779137,28.6132404,"Болград, Болградська міська громада, Болградський район, Одеська область, 68733, Україна",337693965.0,Q890122,,1.0,matched_nominatim
Baimakliia,0305Bm1,Bessarabia,3.0,5.0,Pale,New Russia,0,397.0,1821.0,1.0,selo,,,1821.0,,Bessarabia,Izmail,46.1871843,28.3774494,"Baimaclia, Moldova",274074856.0,Q1776387,,1.0,matched_db_api
Izmail,0305Iz1,Bessarabia,3.0,5.0,Pale,New Russia,0,2780.0,22295.0,1.0,Uezdnyi gorod,,,22295.0,,Bessarabia,Izmail,45.3511307,28.8361514,"Ізмаїл, Ізмаїльська міська громада, Ізмаїльський район, Одеська область, 68600-68633, Україна",337696139.0,Q147739,איזמאיל,1.0,matched_nominatim
Kagul,0305Kg1,Bessarabia,3.0,5.0,Pale,New Russia,0,801.0,7077.0,1.0,zashtatnyi gorod,,,7077.0,,Bessarabia,Izmail,45.9044087,28.1946583,"Cahul, Moldova",265099177.0,Q503469,קאחול,1.0,matched_db_api
Kyliia,0305Ky1,Bessarabia,3.0,5.0,Pale,New Russia,0,2153.0,11618.0,1.0,zashtatnyi gorod,,,11618.0,,Bessarabia,Izmail,45.4409767,29.2652788,"Кілія, Кілійська міська громада, Ізмаїльський район, Одеська область, 68300-68303, Україна",337695449.0,Q889966,קיליה,0.833,matched_nominatim
Leovo,0305Lv1,Bessarabia,3.0,5.0,Pale,New Russia,0,2773.0,4877.0,1.0,mestechko,,,4877.0,,Bessarabia,Izmail,46.4831855,28.265199,"Leova, Moldova",19113653.0,,,0.8,matched_nominatim
Reni,0305Rn1,Bessarabia,3.0,5.0,Pale,New Russia,0,730.0,6941.0,1.0,zashtatnyi gorod,,,6941.0,,Bessarabia,Izmail,45.455413,28.2790948,"Рені, Ренійська міська громада, Ізмаїльський район, Одеська область, 68800-68809, Україна",337695416.0,Q890311,,1.0,matched_nominatim
Isakova,0306Is1,Bessarabia,3.0,6.0,Pale,New Russia,1,,,,koloniia,unknown,Jewish colony since the end of XIX century,,unknown,Bessarabia,Orgieev,47.3708104,28.7176372,"Isacova, Moldova",18966839.0,,,0.857,matched_reverse
Kriulian,0306Kr1,Bessarabia,3.0,6.0,Pale,New Russia,0,338.0,2054.0,1.0,mestechko,,,2054.0,,Bessarabia,Orgieev,47.2132673,29.1599485,"Criuleni, Moldova",273129425.0,Q997029,,0.941,matched_db_api
Olishkany,0306Ol1,Bessarabia,3.0,6.0,Pale,New Russia,0,341.0,2943.0,1.0,selo,,,2943.0,,Bessarabia,Orgieev,47.7990172,28.7144975,"Olișcani, Moldova",281155443.0,Q2447223,,1.0,matched_db_api
Orgieev,0306Or1,Bessarabia,3.0,6.0,Pale,New Russia,0,7144.0,12336.0,1.0,Uezdnyi gorod,,,12336.0,,Bessarabia,Orgieev,47.3681328,28.8271393,"Orhei, Moldova",1333215830.0,Q423258,,0.923,matched_nominatim
Rezena,0306Rz1,Bessarabia,3.0,6.0,Pale,New Russia,0,3182.0,3652.0,1.0,mestechko,,,3652.0,,Bessarabia,Orgieev,47.7489209,28.9565739,"Rezina, Moldova",4674764082.0,Q2281181,,0.833,matched_db_api
Teleneshty,0306Tl1,Bessarabia,3.0,6.0,Pale,New Russia,0,3876.0,4379.0,1.0,mestechko,,,4379.0,,Bessarabia,Orgieev,47.5030998,28.3638314,"Telenești, Moldova",265099158.0,Q647051,,1.0,matched_db_api
Tuzora,0306Tz1,Bessarabia,3.0,6.0,Pale,New Russia,0,4593.0,5153.0,1.0,mestechko,,,5153.0,,Bessarabia,Orgieev,47.2418847,28.3041866,"Tuzara, Moldova",278468973.0,Q2454354,,0.833,matched_db_api
Vysshie Samashkony,0306Vy1,Bessarabia,3.0,6.0,Pale,New Russia,0,79.0,678.0,1.0,selo,,,678.0,,Bessarabia,Orgieev,47.7547863,28.6924283,"Sămășcani, Moldova",19080665.0,Q1991127,,0.643,matched_reverse
Ataki,0307At1,Bessarabia,3.0,7.0,Pale,New Russia,0,4690.0,6976.0,1.0,mestechko,,,6976.0,,Bessarabia,Soroki,48.437605,27.7916711,"Otaci, Moldova",283853454.0,Q2608576,,1.0,matched_db_api
Bricheva,0307Br1,Bessarabia,3.0,7.0,Pale,New Russia,0,1598.0,1644.0,1.0,koloniia,,,1644.0,,Bessarabia,Soroki,48.11138,27.6493716,"Briceva, Moldova",283559474.0,Q4096633,,1.0,matched_db_api
Dombroveny,0307Dm1,Bessarabia,3.0,7.0,Pale,New Russia,0,1726.0,1815.0,1.0,koloniia,,,1815.0,,Bessarabia,Soroki,48.0518203,28.2259698,"Dumbrăveni, Moldova",281905624.0,,,0.8,matched_db_api
Kapreshty,0307Kp1,Bessarabia,3.0,7.0,Pale,New Russia,0,866.0,1002.0,1.0,koloniia,,Different name in census but exactly the same population,1002.0,,Bessarabia,Soroki,47.7533722,28.4649435,"Căprești, Moldova",281158638.0,Q4213203,,0.824,matched_db_api
Kremenchuk,0307Kr1,Bessarabia,3.0,7.0,Pale,New Russia,0,291.0,985.0,1.0,selo,,,985.0,,Bessarabia,Soroki,48.2740004,28.0834272,Cremenciug,282047160.0,Q1990607,,0.9,matched_db_api
Kot Markuleshty,0307Kt1,Bessarabia,3.0,7.0,Pale,New Russia,0,1336.0,1339.0,1.0,koloniia,,Different name in census but exactly the same population,1339.0,,Bessarabia,Soroki,47.8693441,28.2415422,"Mărculești, Moldova",281158770.0,Q2608314,,0.846,matched_db_api
Liublin,0307Lb1,Bessarabia,3.0,7.0,Pale,New Russia,0,512.0,517.0,1.0,koloniia,,Coordinates added 191005,517.0,,Bessarabia,Soroki,48.1126793,28.5375654,"Nimereuca, Moldova",281908369.0,Q2446124,,1.0,matched_refined
Pogorno-Rezesh,0307Pg1,Bessarabia,3.0,7.0,Pale,New Russia,0,73.0,540.0,1.0,derevnia,,,540.0,,Bessarabia,Soroki,47.8327305,28.4994684,"Pohoarna, Moldova",281155452.0,Q1990771,,1.0,matched_refined
Ruda,0307Rd1,Bessarabia,3.0,7.0,Pale,New Russia,0,127.0,1289.0,1.0,selo,,,1289.0,,Bessarabia,Soroki,48.3265845,27.9008939,"Rudi, Moldova",282047386.0,Q1962859,,0.857,matched_db_api
Subbotovka,0307Sb1,Bessarabia,3.0,7.0,Pale,New Russia,1,,,,derevnia,unknown,"Not mentioned in lists of census, found accidently, searching on Wikimapia",,unknown,Bessarabia,Soroki,48.3302176,28.0031797,"Суботівка, Вінницька область, Україна",337602312.0,Q4445003,,1.0,matched_reverse
Soroki,0307Sr1,Bessarabia,3.0,7.0,Pale,New Russia,0,8783.0,15351.0,1.0,Uezdnyi gorod,,,15351.0,,Bessarabia,Soroki,48.1542664,28.2883476,"Soroca, Raionul Soroca, Moldova",243320566.0,Q853785,,1.0,matched_nominatim
Vad,0307Vd1,Bessarabia,3.0,7.0,Pale,New Russia,0,3237.0,4641.0,1.0,mestechko,,,4641.0,,Bessarabia,Soroki,47.93333,28.81667,Vad (Vad-Rashkov),,,,,legacy_coords
Vertiuzhany,0307Vr1,Bessarabia,3.0,7.0,Pale,New Russia,0,1047.0,1057.0,1.0,koloniia,,Remains of settlement can be seen on Wikimapia,1057.0,,Bessarabia,Soroki,47.9927181,28.539332,"Vertiujeni, Moldova",281158737.0,Q2440660,,1.0,matched_db_api
Zguritse,0307Zg1,Bessarabia,3.0,7.0,Pale,New Russia,0,1802.0,2107.0,1.0,koloniia,,,2107.0,,Bessarabia,Soroki,48.1269757,28.0099677,"Zgurița, Moldova",283556371.0,Q2439578,,0.875,matched_db_api
Ataki,0308At1,Bessarabia,3.0,8.0,Pale,New Russia,0,123.0,831.0,1.0,selo,,,831.0,,Bessarabia,Khotin,48.437605,27.7916711,"Otaci, Moldova",283853454.0,Q2608576,,1.0,matched_db_api
Bolboka,0308Bl1,Bessarabia,3.0,8.0,Pale,New Russia,0,89.0,829.0,1.0,selo,,http://ru.wikisource.org/wiki/%D0%A3%D0%BA%D0%B0%D0%B7_%D0%9F%D1%80%D0%B5%D0%B7%D0%B8%D0%B4%D0%B8%D1%83%D0%BC%D0%B0_%D0%92%D0%A1_%D0%A1%D0%A1%D0%A1%D0%A0_%D0%BE%D1%82_4.11.1940_%D0%BE%D0%B1_%D1%83%D1%81%D1%82%D0%B0%D0%BD%D0%BE%D0%B2%D0%BB%D0%B5,829.0,,Bessarabia,Khotin,48.3691361,27.2060605,"Bulboaca, Moldova",19034082.0,Q2436781,,0.8,matched_reverse
Brakha,0308Br1,Bessarabia,3.0,8.0,Pale,New Russia,1,,,,selo,unknown,"Not mentioned in lists of census, found accidently, searching on Wikimapia on the opposite side of the Khotin river coast",,unknown,Bessarabia,Khotin,48.518711,26.512409,Брага,337595773.0,Q4095620,,0.909,matched_db_api
Brichany,0308Br2,Bessarabia,3.0,8.0,Pale,New Russia,0,7184.0,7446.0,1.0,mestechko,,,7446.0,,Bessarabia,Khotin,48.3613276,27.0849008,"Briceni, Moldova",265099144.0,Q2019727,,1.0,matched_db_api
Chepeliutsy,0308Cp1,Bessarabia,3.0,8.0,Pale,New Russia,0,163.0,1555.0,1.0,selo,,,1555.0,,Bessarabia,Khotin,48.3026571,27.3070451,"Cepeleuți, Moldova",283816061.0,,,0.909,matched_db_api
Edintsy,0308Ed1,Bessarabia,3.0,8.0,Pale,New Russia,0,7379.0,10211.0,1.0,mestechko,,,10211.0,,Bessarabia,Khotin,48.1684275,27.2984813,"Edineț, Moldova",265099147.0,Q1150271,,1.0,matched_db_api
Klishkovtsy,0308Kl1,Bessarabia,3.0,8.0,Pale,New Russia,0,1000.0,7707.0,1.0,selo,,,7707.0,,Bessarabia,Khotin,48.430443,26.259632,"Клішківці, Клішковецька сільська громада, Дністровський район, Чернівецька область, 60014, Україна",288288083.0,Q2090239,,1.0,matched_nominatim
Khotin,0308Kt1,Bessarabia,3.0,8.0,Pale,New Russia,0,9227.0,18398.0,1.0,Uezdnyi gorod,,,18398.0,,Bessarabia,Khotin,48.5068418,26.4859086,"Хотин, Чернівецька область, Україна",268080348.0,Q45883,חוטין,1.0,matched_db_api
Lipkony,0308Lp1,Bessarabia,3.0,8.0,Pale,New Russia,0,4410.0,6865.0,1.0,mestechko,,Different name in census but exactly the same population,6865.0,,Bessarabia,Khotin,48.2649946,26.8077363,"Lipcani, Moldova",283838177.0,Q1827367,,0.857,matched_db_api
Neporotovo,0308Np1,Bessarabia,3.0,8.0,Pale,New Russia,0,268.0,1631.0,1.0,selo,,,1631.0,,Bessarabia,Khotin,48.605522,27.2829873,"Непоротове, Чернівецька область, Україна",337592268.0,Q2090020,,1.0,matched_reverse
Novoselitsy,0308Nv1,Bessarabia,3.0,8.0,Pale,New Russia,0,3898.0,5891.0,1.0,mestechko,,,5891.0,,Bessarabia,Khotin,48.2179594,26.2664831,"Новоселиця, Новоселицька міська громада, Чернівецький район, Чернівецька область, 60300, Україна",217289029.0,Q149030,נובוסליצה,0.909,matched_nominatim
Rzhavintsy,0308Rz1,Bessarabia,3.0,8.0,Pale,New Russia,0,369.0,2140.0,1.0,selo,,Different name in census but close by name and by other local countries mentioned in Jewish encyclopedy of Brokhauz and Efron,2140.0,,Bessarabia,Khotin,48.507038,26.06712,Ржавинці,337596131.0,Q4394173,,1.0,matched_db_api
Sekuriany,0308Sk1,Bessarabia,3.0,8.0,Pale,New Russia,0,5042.0,8982.0,1.0,selo,,,8982.0,,Bessarabia,Khotin,48.4460307,27.411193,"Сокиряни, Сокирянська міська громада, Дністровський район, Чернівецька область, 60200-60207, Україна",217289242.0,Q149173,,1.0,matched_refined
Voloshkovo,0308Vl1,Bessarabia,3.0,8.0,Pale,New Russia,0,119.0,1050.0,1.0,selo,,,1050.0,,Bessarabia,Khotin,48.470989,27.499121,"Волошкове, Чернівецька область, Україна",337597346.0,Q4124126,,1.0,matched_reverse
Iaisa,04.Is1,Vilnius,,,Pale,Lithuania,1,,,0.0,,,Mentioned in Jewishgen but not in the census,,unknown,,,55.4167,27.0833,Iaisa,,,,,legacy_coords
Antokol',0401An1,Vilnius,4.0,1.0,Pale,Lithuania,1,,,0.0,,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Vilnius,54.7056388,25.3145377,"Antakalnis, Antakalnio seniūnija, Vilnius, Vilniaus miesto savivaldybė, Vilniaus apskritis, Lietuva",32332874.0,Q570649,,1.0,matched_nominatim
Boguslavishki,0401Bg1,Vilnius,4.0,1.0,Pale,Lithuania,1,,,0.0,,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Vilnius,55.0769881,24.7774088,"Bagaslaviškis, Gelvonų seniūnija, Vilniaus apskritis, Lietuva",1271387157.0,Q12649954,,0.846,matched_db_api
Bol'shie Solochniki,0401Bl1,Vilnius,4.0,1.0,Pale,Lithuania,0,207.0,586.0,1.0,selo,,,586.0,,Vilnius,Vilnius,54.3089991,25.3821472,"Šalčininkai, Šalčininkų seniūnija, Vilniaus apskritis, Lietuva",289972744.0,Q391011,שלצ'ינינקאי,1.0,matched_refined
Bystritsa,0401By1,Vilnius,4.0,1.0,Pale,Lithuania,1,,,0.0,,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Vilnius,54.7990701,25.875701,"Варнянскі сельскі Савет, Астравецкі раён, Гродзенская вобласць, Беларусь",242995642.0,Q3920685,,1.0,matched_db_api
Bezdany,0401Bz1,Vilnius,4.0,1.0,Pale,Lithuania,1,,,0.0,,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Vilnius,54.8031795,25.5187481,"Bezdonių seniūnija, Vilniaus rajono savivaldybė, Vilniaus apskritis, Lietuva",356751586.0,Q853452,,1.0,matched_db_api
Chabishki,0401Cb1,Vilnius,4.0,1.0,Pale,Lithuania,1,,,0.0,,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Vilnius,54.9540963,24.6598973,"Čiobiškis, Čiobiškio seniūnija, Širvintų rajono savivaldybė, Vilniaus apskritis, Lietuva",1751386830.0,Q12679242,,1.0,matched_refined
Dubinki,0401Db1,Vilnius,4.0,1.0,Pale,Lithuania,1,,,0.0,,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Vilnius,55.0585136,25.4498643,"Dubingiai, Dubingių seniūnija, Molėtų rajono savivaldybė, Utenos apskritis, Lietuva",290359383.0,Q1883864,,1.0,matched_nominatim
Gedroitsy,0401Gd1,Vilnius,4.0,1.0,Pale,Lithuania,0,357.0,548.0,1.0,mestechko,,,548.0,,Vilnius,Vilnius,55.0734157,25.2612495,"Giedraičiai, Giedraičių seniūnija, Molėtų rajono savivaldybė, Utenos apskritis, Lietuva",307745519.0,Q3068575,,1.0,matched_refined
Gelvani,0401Gl1,Vilnius,4.0,1.0,Pale,Lithuania,0,374.0,523.0,1.0,mestechko,,,523.0,,Vilnius,Vilnius,55.0666904,24.6922301,"Gelvonai, Gelvonų seniūnija, Širvintų rajono savivaldybė, Vilniaus apskritis, Lietuva",1271387198.0,Q2046850,,0.8,matched_nominatim
Inturki,0401In1,Vilnius,4.0,1.0,Pale,Lithuania,1,,,0.0,,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Vilnius,55.15964,25.561491,"Inturkė, Inturkės seniūnija, Molėtų rajono savivaldybė, Utenos apskritis, Lietuva",307740231.0,Q12656820,אינטורקה,1.0,matched_nominatim
Iashuny,0401Is1,Vilnius,4.0,1.0,Pale,Lithuania,1,,,0.0,,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Vilnius,54.4395719,25.3300192,"Keturiai, Jašiūnų seniūnija, Vilniaus apskritis, Lietuva",2158761438.0,Q12657406,,1.0,matched_db_api
Kalvariskie snipishki,0401Kl1,Vilnius,4.0,1.0,Pale,Lithuania,1,,,0.0,,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Vilnius,54.7020544,25.2752872,"Šnipiškių seniūnija, Vilnius, Vilniaus miesto savivaldybė, Vilniaus apskritis, Lietuva",1252013.0,Q12680105,,manual,matched_manual
Kernovo,0401Kr1,Vilnius,4.0,1.0,Pale,Lithuania,1,,,0.0,,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Vilnius,54.8863237,24.8539683,"Kernavė, Kernavės seniūnija, Vilniaus apskritis, Lietuva",60460997.0,Q215315,קרנאווה,1.0,matched_refined
Laibishki,0401Lb1,Vilnius,4.0,1.0,Pale,Lithuania,1,,,0.0,,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Vilnius,54.4784612,25.5391764,"Laibiškės, Medininkų seniūnija, Vilniaus rajono savivaldybė, Vilniaus apskritis, Lietuva",1406048423.0,Q16457927,,1.0,matched_refined
Mikhalishki,0401Mk1,Vilnius,4.0,1.0,Pale,Lithuania,0,951.0,1224.0,1.0,mestechko,,#NAME?,1224.0,,Vilnius,Vilnius,54.8128921,26.1600209,"Міхалішкі, Астравецкі раён, Гродзенская вобласць, Беларусь",242997278.0,Q3917249,,1.0,matched_db_api
Maliaty,0401Ml1,Vilnius,4.0,1.0,Pale,Lithuania,0,1948.0,2397.0,1.0,mestechko,,,2397.0,,Vilnius,Vilnius,55.2319273,25.419316,"Molėtai, Molėtų rajono savivaldybė, Utenos apskritis, Lietuva",32592592.0,Q957530,,0.923,matched_db_api
Meishagola,0401Ms1,Vilnius,4.0,1.0,Pale,Lithuania,0,109.0,920.0,1.0,mestechko,,,920.0,,Vilnius,Vilnius,54.871362,25.0643171,"Maišiagala, Maišiagalos seniūnija, Vilniaus apskritis, Lietuva",33692800.0,Q3494848,מיישגולה,0.8,matched_db_api
Musniki,0401Ms2,Vilnius,4.0,1.0,Pale,Lithuania,1,,,0.0,,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Vilnius,54.9480474,24.8421207,"Musninkai, Musninkų seniūnija, Vilniaus apskritis, Lietuva",287439810.0,Q2486211,,1.0,matched_db_api
Niemenchin,0401Nm1,Vilnius,4.0,1.0,Pale,Lithuania,0,639.0,886.0,1.0,mestechko,,,886.0,,Vilnius,Vilnius,54.8476292,25.4689647,"Nemenčinė, Nemenčinės miesto seniūnija, Vilniaus apskritis, Lietuva",60023133.0,Q118910,,0.9,matched_db_api
Novo-Vileisk,0401Nv1,Vilnius,4.0,1.0,Pale,Lithuania,1,,,0.0,,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Vilnius,54.6908669,25.421441,"Naujoji Vilnia, Naujosios Vilnios seniūnija, Vilnius, Vilniaus miesto savivaldybė, Vilniaus apskritis, Lietuva",50125156.0,Q937667,,1.0,matched_refined
Ostrovets,0401Os1,Vilnius,4.0,1.0,Pale,Lithuania,1,,,0.0,,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Vilnius,54.6149379,25.9565998,"Астравец, Астравецкі раён, Гродзенская вобласць, Беларусь",242978913.0,Q261024,אסטרבייץ,1.0,matched_db_api
Podberezy,0401Pd1,Vilnius,4.0,1.0,Pale,Lithuania,0,556.0,688.0,1.0,mestechko,,,688.0,,Vilnius,Vilnius,54.9426403,25.235597,Paberžė,307747170.0,Q5620453,,0.737,matched_db_api
Peski,0401Ps1,Vilnius,4.0,1.0,Pale,Lithuania,0,197.0,1740.0,1.0,prigorod,,,1740.0,,Vilnius,Vilnius,53.3504065,24.623711,"Пескі, Мастоўскі раён, Гродзенская вобласць, Беларусь",242985766.0,Q140224,,1.0,matched_db_api
Rudomino,0401Rd1,Vilnius,4.0,1.0,Pale,Lithuania,1,,,0.0,,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Vilnius,54.5816635,25.3902838,"Rudamina, Antupiai, Rudaminos seniūnija, Vilniaus rajono savivaldybė, Vilniaus apskritis, Lietuva",337991791.0,,,0.824,matched_nominatim
Soltanishki,0401Sl1,Vilnius,4.0,1.0,Pale,Lithuania,0,413.0,1440.0,1.0,prigorod,,,1440.0,,Vilnius,Vilnius,54.7013476,25.256753,Saltoniškės,5663341891.0,Q12672261,,0.909,matched_db_api
