index,name,prov,dist,pale,region,jews,total,type,no_jews,is_census,total_flag,jewish_flag,comments,name_he,modern_name,dist_code,index_sht,osm_id,wikidata_id,lat,lon
16,Aleksandreny,Bessarabia,Bieltsy,1,New Russia,1190,1253,koloniia,0,1,"","","","","Alexăndreni, Moldova",0304,0304Al1,281161097,Q2448236,47.8103129,28.0837775
17,Bel'tsy,Bessarabia,Bieltsy,1,New Russia,10348,18478,Uezdnyi gorod,0,1,"","","",בלץ,"Bălți, Moldova",0304,0304Bl1,266185307,Q37801,47.7623952,27.9286022
18,Buteshty Stavry,Bessarabia,Bieltsy,1,New Russia,108,674,selo,0,1,"","",http://ru.wikisource.org/wiki/%D0%A1%D0%B1%D0%BE%D1%80%D0%BD%D0%B8%D0%BA_%D0%B1%D0%BE%D0%B5%D0%B2%D1%8B%D1%85_%D0%B4%D0%BE%D0%BA%D1%83%D0%BC%D0%B5%D0%BD%D1%82%D0%BE%D0%B2/38/062,"",Buteshty Stavry (Broneshty),0304,0304Bt1,,"",47.3,28.91667
19,Foleshty,Bessarabia,Bieltsy,1,New Russia,4518,6672,mestechko,0,1,note_appended,"","","","Fălești, Moldova",0304,0304Fl1,265099157,Q2078085,47.5735141,27.7068016
20,Korneshty,Bessarabia,Bieltsy,1,New Russia,552,2689,selo,0,1,"","","","","Cornești, Moldova",0304,0304Kr1,262634522,Q2452920,47.3564908,28.0091608
21,Pyrlitsa,Bessarabia,Bieltsy,1,New Russia,494,722,poselok,0,1,"","","","","Pîrlița, Moldova",0304,0304Py1,18967765,"",47.7395891,27.8023661
22,Ryshkonovka,Bessarabia,Bieltsy,1,New Russia,2247,3246,mestechko,0,1,"","","","","Rîșcani, Moldova",0304,0304Ry1,265099150,Q1022131,47.9535987,27.5514453
23,Skuliany,Bessarabia,Bieltsy,1,New Russia,1555,3375,mestechko,0,1,"","","","","Sculeni, Victoria, Zona Metropolitană Iași, Iași, 707584, România",0304,0304Sk1,2028965166,Q12153433,47.3140503,27.605704
24,Ungeny,Bessarabia,Bieltsy,1,New Russia,997,1693,poselok,0,1,"","","",אונגני,"Ungheni, Moldova",0304,0304Un1,261076253,Q858713,47.2059965,27.798917
25,Valialui Vlad,Bessarabia,Bieltsy,1,New Russia,1318,1349,koloniia,0,1,"","","","","Valea lui Vlad, Dumbrăvița, Raionul Sîngerei, Moldova",0304,0304Vl1,281159656,Q4103165,47.4822493,28.1268665
26,Bolgrad,Bessarabia,Izmail,1,New Russia,1196,12300,zashtatnyi gorod,0,1,"","",A Gorod with less than 10% Jews (number of Jews is from Guberniyas volumes),"","Болград, Болградська міська громада, Болградський район, Одеська область, 68733, Україна",0305,0305Bl1,337693965,Q890122,45.6779137,28.6132404
27,Baimakliia,Bessarabia,Izmail,1,New Russia,397,1821,selo,0,1,"","","","","Baimaclia, Moldova",0305,0305Bm1,274074856,Q1776387,46.1871843,28.3774494
28,Izmail,Bessarabia,Izmail,1,New Russia,2780,22295,Uezdnyi gorod,0,1,"","","",איזמאיל,"Ізмаїл, Ізмаїльська міська громада, Ізмаїльський район, Одеська область, 68600-68633, Україна",0305,0305Iz1,337696139,Q147739,45.3511307,28.8361514
29,Kagul,Bessarabia,Izmail,1,New Russia,801,7077,zashtatnyi gorod,0,1,"","","",קאחול,"Cahul, Moldova",0305,0305Kg1,265099177,Q503469,45.9044087,28.1946583
30,Kyliia,Bessarabia,Izmail,1,New Russia,2153,11618,zashtatnyi gorod,0,1,"","","",קיליה,"Кілія, Кілійська міська громада, Ізмаїльський район, Одеська область, 68300-68303, Україна",0305,0305Ky1,337695449,Q889966,45.4409767,29.2652788
31,Leovo,Bessarabia,Izmail,1,New Russia,2773,4877,mestechko,0,1,"","","","","Leova, Moldova",0305,0305Lv1,19113653,"",46.4831855,28.265199
32,Reni,Bessarabia,Izmail,1,New Russia,730,6941,zashtatnyi gorod,0,1,"","","","","Рені, Ренійська міська громада, Ізмаїльський район, Одеська область, 68800-68809, Україна",0305,0305Rn1,337695416,Q890311,45.455413,28.2790948
33,Isakova,Bessarabia,Orgieev,1,New Russia,,,koloniia,1,1,unknown,unknown,Jewish colony since the end of XIX century,"","Isacova, Moldova",0306,0306Is1,18966839,"",47.3708104,28.7176372
34,Kriulian,Bessarabia,Orgieev,1,New Russia,338,2054,mestechko,0,1,"","","","","Criuleni, Moldova",0306,0306Kr1,273129425,Q997029,47.2132673,29.1599485
35,Olishkany,Bessarabia,Orgieev,1,New Russia,341,2943,selo,0,1,"","","","","Olișcani, Moldova",0306,0306Ol1,281155443,Q2447223,47.7990172,28.7144975
36,Orgieev,Bessarabia,Orgieev,1,New Russia,7144,12336,Uezdnyi gorod,0,1,"","","","","Orhei, Moldova",0306,0306Or1,1333215830,Q423258,47.3681328,28.8271393
37,Rezena,Bessarabia,Orgieev,1,New Russia,3182,3652,mestechko,0,1,"","","","","Rezina, Moldova",0306,0306Rz1,4674764082,Q2281181,47.7489209,28.9565739
38,Teleneshty,Bessarabia,Orgieev,1,New Russia,3876,4379,mestechko,0,1,"","","","","Telenești, Moldova",0306,0306Tl1,265099158,Q647051,47.5030998,28.3638314
39,Tuzora,Bessarabia,Orgieev,1,New Russia,4593,5153,mestechko,0,1,"","","","","Tuzara, Moldova",0306,0306Tz1,278468973,Q2454354,47.2418847,28.3041866
40,Vysshie Samashkony,Bessarabia,Orgieev,1,New Russia,79,678,selo,0,1,"","","","","Sămășcani, Moldova",0306,0306Vy1,19080665,Q1991127,47.7547863,28.6924283
41,Ataki,Bessarabia,Soroki,1,New Russia,4690,6976,mestechko,0,1,"","","","","Otaci, Moldova",0307,0307At1,283853454,Q2608576,48.437605,27.7916711
42,Bricheva,Bessarabia,Soroki,1,New Russia,1598,1644,koloniia,0,1,"","","","","Briceva, Moldova",0307,0307Br1,283559474,Q4096633,48.11138,27.6493716
43,Dombroveny,Bessarabia,Soroki,1,New Russia,1726,1815,koloniia,0,1,"","","","","Dumbrăveni, Moldova",0307,0307Dm1,281905624,"",48.0518203,28.2259698
44,Kapreshty,Bessarabia,Soroki,1,New Russia,866,1002,koloniia,0,1,"","",Different name in census but exactly the same population,"","Căprești, Moldova",0307,0307Kp1,281158638,Q4213203,47.7533722,28.4649435
45,Kremenchuk,Bessarabia,Soroki,1,New Russia,291,985,selo,0,1,"","","","",Cremenciug,0307,0307Kr1,282047160,Q1990607,48.2740004,28.0834272
46,Kot Markuleshty,Bessarabia,Soroki,1,New Russia,1336,1339,koloniia,0,1,"","",Different name in census but exactly the same population,"","Mărculești, Moldova",0307,0307Kt1,281158770,Q2608314,47.8693441,28.2415422
47,Liublin,Bessarabia,Soroki,1,New Russia,512,517,koloniia,0,1,"","",Coordinates added 191005,"","Nimereuca, Moldova",0307,0307Lb1,281908369,Q2446124,48.1126793,28.5375654
48,Pogorno-Rezesh,Bessarabia,Soroki,1,New Russia,73,540,derevnia,0,1,"","","","","Pohoarna, Moldova",0307,0307Pg1,281155452,Q1990771,47.8327305,28.4994684
49,Ruda,Bessarabia,Soroki,1,New Russia,127,1289,selo,0,1,"","","","","Rudi, Moldova",0307,0307Rd1,282047386,Q1962859,48.3265845,27.9008939
50,Subbotovka,Bessarabia,Soroki,1,New Russia,,,derevnia,1,1,unknown,unknown,"Not mentioned in lists of census, found accidently, searching on Wikimapia","","Суботівка, Вінницька область, Україна",0307,0307Sb1,337602312,Q4445003,48.3302176,28.0031797
51,Soroki,Bessarabia,Soroki,1,New Russia,8783,15351,Uezdnyi gorod,0,1,"","","","","Soroca, Raionul Soroca, Moldova",0307,0307Sr1,243320566,Q853785,48.1542664,28.2883476
52,Vad,Bessarabia,Soroki,1,New Russia,3237,4641,mestechko,0,1,"","","","",Vad (Vad-Rashkov),0307,0307Vd1,,"",47.93333,28.81667
53,Vertiuzhany,Bessarabia,Soroki,1,New Russia,1047,1057,koloniia,0,1,"","",Remains of settlement can be seen on Wikimapia,"","Vertiujeni, Moldova",0307,0307Vr1,281158737,Q2440660,47.9927181,28.539332
54,Zguritse,Bessarabia,Soroki,1,New Russia,1802,2107,koloniia,0,1,"","","","","Zgurița, Moldova",0307,0307Zg1,283556371,Q2439578,48.1269757,28.0099677
55,Ataki,Bessarabia,Khotin,1,New Russia,123,831,selo,0,1,"","","","","Otaci, Moldova",0308,0308At1,283853454,Q2608576,48.437605,27.7916711
56,Bolboka,Bessarabia,Khotin,1,New Russia,89,829,selo,0,1,"","",http://ru.wikisource.org/wiki/%D0%A3%D0%BA%D0%B0%D0%B7_%D0%9F%D1%80%D0%B5%D0%B7%D0%B8%D0%B4%D0%B8%D1%83%D0%BC%D0%B0_%D0%92%D0%A1_%D0%A1%D0%A1%D0%A1%D0%A0_%D0%BE%D1%82_4.11.1940_%D0%BE%D0%B1_%D1%83%D1%81%D1%82%D0%B0%D0%BD%D0%BE%D0%B2%D0%BB%D0%B5,"","Bulboaca, Moldova",0308,0308Bl1,19034082,Q2436781,48.3691361,27.2060605
57,Brakha,Bessarabia,Khotin,1,New Russia,,,selo,1,1,unknown,unknown,"Not mentioned in lists of census, found accidently, searching on Wikimapia on the opposite side of the Khotin river coast","",Брага,0308,0308Br1,337595773,Q4095620,48.518711,26.512409
58,Brichany,Bessarabia,Khotin,1,New Russia,7184,7446,mestechko,0,1,"","","","","Briceni, Moldova",0308,0308Br2,265099144,Q2019727,48.3613276,27.0849008
59,Chepeliutsy,Bessarabia,Khotin,1,New Russia,163,1555,selo,0,1,"","","","","Cepeleuți, Moldova",0308,0308Cp1,283816061,"",48.3026571,27.3070451
60,Edintsy,Bessarabia,Khotin,1,New Russia,7379,10211,mestechko,0,1,"","","","","Edineț, Moldova",0308,0308Ed1,265099147,Q1150271,48.1684275,27.2984813
61,Klishkovtsy,Bessarabia,Khotin,1,New Russia,1000,7707,selo,0,1,"","","","","Клішківці, Клішковецька сільська громада, Дністровський район, Чернівецька область, 60014, Україна",0308,0308Kl1,288288083,Q2090239,48.430443,26.259632
62,Khotin,Bessarabia,Khotin,1,New Russia,9227,18398,Uezdnyi gorod,0,1,"","","",חוטין,"Хотин, Чернівецька область, Україна",0308,0308Kt1,268080348,Q45883,48.5068418,26.4859086
63,Lipkony,Bessarabia,Khotin,1,New Russia,4410,6865,mestechko,0,1,"","",Different name in census but exactly the same population,"","Lipcani, Moldova",0308,0308Lp1,283838177,Q1827367,48.2649946,26.8077363
64,Neporotovo,Bessarabia,Khotin,1,New Russia,268,1631,selo,0,1,"","","","","Непоротове, Чернівецька область, Україна",0308,0308Np1,337592268,Q2090020,48.605522,27.2829873
65,Novoselitsy,Bessarabia,Khotin,1,New Russia,3898,5891,mestechko,0,1,"","","",נובוסליצה,"Новоселиця, Новоселицька міська громада, Чернівецький район, Чернівецька область, 60300, Україна",0308,0308Nv1,217289029,Q149030,48.2179594,26.2664831
66,Rzhavintsy,Bessarabia,Khotin,1,New Russia,369,2140,selo,0,1,"","",Different name in census but close by name and by other local countries mentioned in Jewish encyclopedy of Brokhauz and Efron,"",Ржавинці,0308,0308Rz1,337596131,Q4394173,48.507038,26.06712
67,Sekuriany,Bessarabia,Khotin,1,New Russia,5042,8982,selo,0,1,"","","","","Сокиряни, Сокирянська міська громада, Дністровський район, Чернівецька область, 60200-60207, Україна",0308,0308Sk1,217289242,Q149173,48.4460307,27.411193
68,Voloshkovo,Bessarabia,Khotin,1,New Russia,119,1050,selo,0,1,"","","","","Волошкове, Чернівецька область, Україна",0308,0308Vl1,337597346,Q4124126,48.470989,27.499121
69,Iaisa,Vilnius,"",1,Lithuania,,,"",1,0,unknown,"",Mentioned in Jewishgen but not in the census,"",Iaisa,NANA,04.Is1,,"",55.4167,27.0833
70,Antokol',Vilnius,Vilnius,1,Lithuania,,,"",1,0,unknown,"",Mentioned in Jewishgen but not in the census,"","Antakalnis, Antakalnio seniūnija, Vilnius, Vilniaus miesto savivaldybė, Vilniaus apskritis, Lietuva",0401,0401An1,32332874,Q570649,54.7056388,25.3145377
71,Boguslavishki,Vilnius,Vilnius,1,Lithuania,,,"",1,0,unknown,"",Mentioned in Jewishgen but not in the census,"","Bagaslaviškis, Gelvonų seniūnija, Vilniaus apskritis, Lietuva",0401,0401Bg1,1271387157,Q12649954,55.0769881,24.7774088
72,Bol'shie Solochniki,Vilnius,Vilnius,1,Lithuania,207,586,selo,0,1,"","","",שלצ'ינינקאי,"Šalčininkai, Šalčininkų seniūnija, Vilniaus apskritis, Lietuva",0401,0401Bl1,289972744,Q391011,54.3089991,25.3821472
73,Bystritsa,Vilnius,Vilnius,1,Lithuania,,,"",1,0,unknown,"",Mentioned in Jewishgen but not in the census,"","Варнянскі сельскі Савет, Астравецкі раён, Гродзенская вобласць, Беларусь",0401,0401By1,242995642,Q3920685,54.7990701,25.875701
74,Bezdany,Vilnius,Vilnius,1,Lithuania,,,"",1,0,unknown,"",Mentioned in Jewishgen but not in the census,"","Bezdonių seniūnija, Vilniaus rajono savivaldybė, Vilniaus apskritis, Lietuva",0401,0401Bz1,356751586,Q853452,54.8031795,25.5187481
75,Chabishki,Vilnius,Vilnius,1,Lithuania,,,"",1,0,unknown,"",Mentioned in Jewishgen but not in the census,"","Čiobiškis, Čiobiškio seniūnija, Širvintų rajono savivaldybė, Vilniaus apskritis, Lietuva",0401,0401Cb1,1751386830,Q12679242,54.9540963,24.6598973
76,Dubinki,Vilnius,Vilnius,1,Lithuania,,,"",1,0,unknown,"",Mentioned in Jewishgen but not in the census,"","Dubingiai, Dubingių seniūnija, Molėtų rajono savivaldybė, Utenos apskritis, Lietuva",0401,0401Db1,290359383,Q1883864,55.0585136,25.4498643
77,Gedroitsy,Vilnius,Vilnius,1,Lithuania,357,548,mestechko,0,1,"","","","","Giedraičiai, Giedraičių seniūnija, Molėtų rajono savivaldybė, Utenos apskritis, Lietuva",0401,0401Gd1,307745519,Q3068575,55.0734157,25.2612495
78,Gelvani,Vilnius,Vilnius,1,Lithuania,374,523,mestechko,0,1,"","","","","Gelvonai, Gelvonų seniūnija, Širvintų rajono savivaldybė, Vilniaus apskritis, Lietuva",0401,0401Gl1,1271387198,Q2046850,55.0666904,24.6922301
79,Inturki,Vilnius,Vilnius,1,Lithuania,,,"",1,0,unknown,"",Mentioned in Jewishgen but not in the census,אינטורקה,"Inturkė, Inturkės seniūnija, Molėtų rajono savivaldybė, Utenos apskritis, Lietuva",0401,0401In1,307740231,Q12656820,55.15964,25.561491
80,Iashuny,Vilnius,Vilnius,1,Lithuania,,,"",1,0,unknown,"",Mentioned in Jewishgen but not in the census,"","Keturiai, Jašiūnų seniūnija, Vilniaus apskritis, Lietuva",0401,0401Is1,2158761438,Q12657406,54.4395719,25.3300192
81,Kalvariskie snipishki,Vilnius,Vilnius,1,Lithuania,,,"",1,0,unknown,"",Mentioned in Jewishgen but not in the census,"","Šnipiškių seniūnija, Vilnius, Vilniaus miesto savivaldybė, Vilniaus apskritis, Lietuva",0401,0401Kl1,1252013,Q12680105,54.7020544,25.2752872
82,Kernovo,Vilnius,Vilnius,1,Lithuania,,,"",1,0,unknown,"",Mentioned in Jewishgen but not in the census,קרנאווה,"Kernavė, Kernavės seniūnija, Vilniaus apskritis, Lietuva",0401,0401Kr1,60460997,Q215315,54.8863237,24.8539683
83,Laibishki,Vilnius,Vilnius,1,Lithuania,,,"",1,0,unknown,"",Mentioned in Jewishgen but not in the census,"","Laibiškės, Medininkų seniūnija, Vilniaus rajono savivaldybė, Vilniaus apskritis, Lietuva",0401,0401Lb1,1406048423,Q16457927,54.4784612,25.5391764
84,Mikhalishki,Vilnius,Vilnius,1,Lithuania,951,1224,mestechko,0,1,"","",#NAME?,"","Міхалішкі, Астравецкі раён, Гродзенская вобласць, Беларусь",0401,0401Mk1,242997278,Q3917249,54.8128921,26.1600209
85,Maliaty,Vilnius,Vilnius,1,Lithuania,1948,2397,mestechko,0,1,"","","","","Molėtai, Molėtų rajono savivaldybė, Utenos apskritis, Lietuva",0401,0401Ml1,32592592,Q957530,55.2319273,25.419316
86,Meishagola,Vilnius,Vilnius,1,Lithuania,109,920,mestechko,0,1,"","","",מיישגולה,"Maišiagala, Maišiagalos seniūnija, Vilniaus apskritis, Lietuva",0401,0401Ms1,33692800,Q3494848,54.871362,25.0643171
87,Musniki,Vilnius,Vilnius,1,Lithuania,,,"",1,0,unknown,"",Mentioned in Jewishgen but not in the census,"","Musninkai, Musninkų seniūnija, Vilniaus apskritis, Lietuva",0401,0401Ms2,287439810,Q2486211,54.9480474,24.8421207
88,Niemenchin,Vilnius,Vilnius,1,Lithuania,639,886,mestechko,0,1,"","","","","Nemenčinė, Nemenčinės miesto seniūnija, Vilniaus apskritis, Lietuva",0401,0401Nm1,60023133,Q118910,54.8476292,25.4689647
89,Novo-Vileisk,Vilnius,Vilnius,1,Lithuania,,,"",1,0,unknown,"",Mentioned in Jewishgen but not in the census,"","Naujoji Vilnia, Naujosios Vilnios seniūnija, Vilnius, Vilniaus miesto savivaldybė, Vilniaus apskritis, Lietuva",0401,0401Nv1,50125156,Q937667,54.6908669,25.421441
90,Ostrovets,Vilnius,Vilnius,1,Lithuania,,,"",1,0,unknown,"",Mentioned in Jewishgen but not in the census,אסטרבייץ,"Астравец, Астравецкі раён, Гродзенская вобласць, Беларусь",0401,0401Os1,242978913,Q261024,54.6149379,25.9565998
91,Podberezy,Vilnius,Vilnius,1,Lithuania,556,688,mestechko,0,1,"","","","",Paberžė,0401,0401Pd1,307747170,Q5620453,54.9426403,25.235597
92,Peski,Vilnius,Vilnius,1,Lithuania,197,1740,prigorod,0,1,"","","","","Пескі, Мастоўскі раён, Гродзенская вобласць, Беларусь",0401,0401Ps1,242985766,Q140224,53.3504065,24.623711
93,Rudomino,Vilnius,Vilnius,1,Lithuania,,,"",1,0,unknown,"",Mentioned in Jewishgen but not in the census,"","Rudamina, Antupiai, Rudaminos seniūnija, Vilniaus rajono savivaldybė, Vilniaus apskritis, Lietuva",0401,0401Rd1,337991791,"",54.5816635,25.3902838
94,Soltanishki,Vilnius,Vilnius,1,Lithuania,413,1440,prigorod,0,1,"","","","",Saltoniškės,0401,0401Sl1,5663341891,Q12672261,54.7013476,25.256753
95,Shirvinty,Vilnius,Vilnius,1,Lithuania,1413,1864,mestechko,0,1,"","","","","Širvintos, Širvintų miesto seniūnija, Vilniaus apskritis, Lietuva",0401,0401Sr1,60461226,Q391764,55.0514295,24.9516122
96,Shesholi,Vilnius,Vilnius,1,Lithuania,,,"",1,0,unknown,"",Mentioned in Jewishgen but not in the census,"","Šešuoliai, Šešuolių seniūnija, Ukmergės rajono savivaldybė, Vilniaus apskritis, Lietuva",0401,0401Ss1,421338869,Q8082771,55.1792707,24.9699569
97,Tsekhanovishki,Vilnius,Vilnius,1,Lithuania,,,"",1,0,unknown,"",Mentioned in Jewishgen but not in the census,"","Čekoniškės, Zujūnų seniūnija, Vilniaus apskritis, Lietuva",0401,0401Ts1,316032610,Q338321,54.7361475,25.0808516
98,Vil'na,Vilnius,Vilnius,1,Lithuania,63996,154532,Gubernskii gorod,0,1,"","","",וילנה,"Vilnius, Vilniaus miesto savivaldybė, Vilniaus apskritis, Lietuva",0401,0401Vl1,27193093,Q216,54.6870458,25.2829111
99,Vileika,Vilnius,Vilnius,1,Lithuania,346,3350,selo,0,1,"","","",וילייקה,"Вілейка, Вілейскі раён, Мінская вобласць, Беларусь",0401,0401Vl2,242978923,Q181632,54.4880686,26.9145229
100,Vorniany,Vilnius,Vilnius,1,Lithuania,,,"",1,0,unknown,"",Mentioned in Jewishgen but not in the census,"","Варняны, Астравецкі раён, Гродзенская вобласць, Беларусь",0401,0401Vr1,242995611,Q82271,54.7263876,26.0054119
101,Zakret,Vilnius,Vilnius,1,Lithuania,170,1594,Prigorod,0,1,"","","","",Zakret,0401,0401Zk1,,"",54.68333,25.23333
102,Budslav,Vilnius,Vileika,1,Lithuania,,,"",1,0,unknown,"",Mentioned in Jewishgen but not in the census,"","Будслаў, Мядзельскі раён, Мінская вобласць, Беларусь",0402,0402Bd1,243010530,Q2993992,54.786885,27.4536992
103,Dolginov,Vilnius,Vileika,1,Lithuania,2559,3551,mestechko,0,1,"","","","","Даўгінава, Вілейскі раён, Мінская вобласць, Беларусь",0402,0402Dl1,243012885,Q2029657,54.6456778,27.4762063
104,Dunilovichi,Vilnius,Vileika,1,Lithuania,1553,1810,mestechko,0,1,"","","","","Дунілавічы, Пастаўскі раён, Віцебская вобласць, Беларусь",0402,0402Dn1,243011661,Q3917466,55.0754285,27.2344135
105,Gorodok,Vilnius,Vileika,1,Lithuania,1230,1603,mestechko,0,1,"","","","","Гарадок, Маладзечанскі раён, Мінская вобласць, Беларусь",0402,0402Gr1,243003397,Q36820,54.1570388,26.9192441
106,Iliia,Vilnius,Vileika,1,Lithuania,829,1431,mestechko,0,1,"","","","","Ілья, Вілейскі раён, Мінская вобласць, Беларусь",0402,0402Il1,243011350,Q5213666,54.4140345,27.2911075
107,Kraisk,Vilnius,Vileika,1,Lithuania,549,629,mestechko,0,1,"","","","","Крайск, Лагойскі раён, Мінская вобласць, Беларусь",0402,0402Kr1,243012824,Q13028173,54.5220301,27.5002284
108,Krasnoe,Vilnius,Vileika,1,Lithuania,573,1077,mestechko,0,1,"","","","","Краснае, Маладзечанскі раён, Мінская вобласць, Беларусь",0402,0402Kr2,243009124,Q3917896,54.249104,27.078309
109,Krivichi,Vilnius,Vileika,1,Lithuania,457,520,mestechko,0,1,"","","",קריביצ'י,"Крывічы, Мядзельскі раён, Мінская вобласць, Беларусь",0402,0402Kr3,242979030,Q2659553,54.7141707,27.2895903
110,Kurenets,Vilnius,Vileika,1,Lithuania,1613,1774,mestechko,0,1,"","","","","Куранец, Вілейскі раён, Мінская вобласць, Беларусь",0402,0402Kr4,243008981,Q13029781,54.5554547,26.9642369
111,Lebedev,Vilnius,Vileika,1,Lithuania,1232,2275,mestechko,0,1,"","","","","Лебядзева, Маладзечанскі раён, Мінская вобласць, Беларусь",0402,0402Lb1,242999695,Q2782945,54.3142698,26.7064608
112,Molodechno,Vilnius,Vileika,1,Lithuania,1105,2393,mestechko,0,1,"","","",מלדזייצ'נה,"Маладзечна, Маладзечанскі раён, Мінская вобласць, Беларусь",0402,0402Ml1,1816928488,Q201203,54.3073327,26.8389111
113,Nivki,Vilnius,Vileika,1,Lithuania,,,"",1,0,unknown,"",Mentioned in Jewishgen but not in the census,"","Княгінінскі сельскі Савет, Мядзельскі раён, Мінская вобласць, Беларусь",0402,0402Nv1,243011382,Q6522645,54.643589,27.12001
114,Novyi Miadziol,Vilnius,Vileika,1,Lithuania,436,1164,mestechko,0,1,"","","","","Мядзел, Мядзельскі раён, Мінская вобласць, Беларусь",0402,0402Nv2,242978928,Q201218,54.8707533,26.9299904
115,Parafianovo,Vilnius,Vileika,1,Lithuania,,,"",1,0,unknown,"",Mentioned in Jewishgen but not in the census,"","Парафʼянава, Докшыцкі раён, Віцебская вобласць, Беларусь",0402,0402Pr1,1190756809,Q3919858,54.8775146,27.6040096
116,Radoshkovichi,Vilnius,Vileika,1,Lithuania,1519,2615,zashtatnyi gorod,0,1,"","","","","Радашковічы, Маладзечанскі раён, Мінская вобласць, Беларусь",0402,0402Rd1,242979029,Q2993986,54.1596917,27.235522
117,Vileika,Vilnius,Vileika,1,Lithuania,1328,3560,Uezdnyi gorod,0,1,"","","",וילייקה,"Вілейка, Вілейскі раён, Мінская вобласць, Беларусь",0402,0402Vl1,242978923,Q181632,54.4880686,26.9145229
118,Volkolata,Vilnius,Vileika,1,Lithuania,69,543,selo,0,1,"","","","",Валкалата,0402,0402Vl2,243014077,Q20462374,54.9274716,27.368018
119,Viazyn',Vilnius,Vileika,1,Lithuania,234,604,mestechko,0,1,"","",The district is incorrect in Jewishgen,"","Вязынь, Вілейскі раён, Мінская вобласць, Беларусь",0402,0402Vz1,243011302,Q143061,54.4205112,27.162876
120,Druia,Vilnius,Disna,1,Lithuania,3006,4742,Zashtatnyi gorod,0,1,"","","","","Друя, Браслаўскі раён, Віцебская вобласць, Беларусь",0403,0403Dr1,130200330,Q2621918,55.7869548,27.464213
121,Disna,Vilnius,Disna,1,Lithuania,4617,6756,Uezdnyi gorod,0,1,"","","","","Дзісна, Завуццеўскі сельскі Савет, Мёрскі раён, Віцебская вобласць, Беларусь",0403,0403Ds1,565536011,Q432399,55.5332754,28.0889639
