uid,index,district,district_id,court,court_id,type,entry_nr,level,name,area_ha,ref_parent,male,female,total,rom_cat,grk_cat,jews,othr,get,pol,rut,oth_lng,houses,lat,lon,modern_name,osm_id,wikidata_id,modern_type,nom_status
010110,12.0,Biala,1.0,Auschwitz,0101,mun,10.0,parent,Klucznikowice,,,192.0,186.0,378.0,232.0,,146.0,,,377.0,,,37.0,50.0417304,19.2224991,"Klucznikowice, Oświęcim, powiat oświęcimski, województwo małopolskie, Polska",3009713771.0,,neighbourhood,located
010111,13.0,Biala,1.0,Auschwitz,0101,mun,11.0,parent,Kruki,,,67.0,52.0,119.0,112.0,,7.0,,,119.0,,,26.0,50.0458922,19.2356558,"Kruki, Oświęcim, powiat oświęcimski, województwo małopolskie, Polska",1345144570.0,,neighbourhood,located
010112,14.0,Biala,1.0,Auschwitz,0101,mun,12.0,parent,Łazy,96.0,,84.0,77.0,161.0,161.0,,,,,161.0,,,31.0,49.9897934,19.2566559,"Łazy, Grojec, gmina Oświęcim, powiat oświęcimski, województwo małopolskie, Polska",2022134115.0,Q8080591,village,located
010113,15.0,Biala,1.0,Auschwitz,0101,mun,13.0,parent,Monowice,641.0,,508.0,562.0,1070.0,1060.0,,10.0,,,1070.0,,,225.0,50.0331874,19.3000429,"Monowice, Oświęcim, powiat oświęcimski, województwo małopolskie, Polska",31901138.0,,suburb,located
010114,16.0,Biala,1.0,Auschwitz,0101,mun,14.0,parent,Pławy,148.0,,105.0,118.0,223.0,223.0,,,,,220.0,,,36.0,50.0271256,19.1701614,"Pławy, gmina Oświęcim, powiat oświęcimski, województwo małopolskie, Polska",1777323.0,Q7265087,village,located
010115,17.0,Biala,1.0,Auschwitz,0101,mun,15.0,parent,Polanka Wielka,1780.0,,840.0,923.0,1763.0,1763.0,,,,,1762.0,,,271.0,49.9838274,19.3074201,"Polanka Wielka, gmina Polanka Wielka, powiat oświęcimski, województwo małopolskie, Polska",2387015.0,Q7208969,village,located
010116,18.0,Biala,1.0,Auschwitz,0101,mun,16.0,parent,Poręba Wielka,524.0,,353.0,379.0,732.0,723.0,,9.0,,,732.0,,,130.0,50.0103568,19.2821688,"Poręba Wielka, gmina Oświęcim, powiat oświęcimski, województwo małopolskie, Polska",1776441.0,Q7232910,village,located
010117,19.0,Biala,1.0,Auschwitz,0101,mun,17.0,parent,Przecieszyn,321.0,,111.0,148.0,259.0,259.0,,,,,258.0,,,49.0,49.97938,19.1815085,"Przecieszyn, gmina Brzeszcze, powiat oświęcimski, województwo małopolskie, Polska",3341140.0,Q7253310,village,located
010118,20.0,Biala,1.0,Auschwitz,0101,mun,18.0,parent,Rajsko,332.0,,297.0,319.0,616.0,611.0,,5.0,,,613.0,,,101.0,50.00929,19.19097,"Rajsko, gmina Oświęcim, powiat oświęcimski, województwo małopolskie, Polska",1777294.0,Q7286447,village,located
010118_1,21.0,Biala,1.0,Auschwitz,0101,mun,18.0,ort,Budy,,,25.0,25.0,50.0,48.0,,2.0,,,50.0,,,11.0,50.00929,19.19097,"Rajsko, gmina Oświęcim, powiat oświęcimski, województwo małopolskie, Polska",1777294.0,Q7286447,village,from_parent
010118_2,22.0,Biala,1.0,Auschwitz,0101,mun,18.0,ort,Rajsko,,,272.0,294.0,566.0,563.0,,3.0,,,563.0,,,90.0,50.00929,19.19097,"Rajsko, gmina Oświęcim, powiat oświęcimski, województwo małopolskie, Polska",1777294.0,Q7286447,village,located
010119,23.0,Biala,1.0,Auschwitz,0101,mun,19.0,parent,Skidzin,448.0,,135.0,143.0,278.0,276.0,,2.0,,,275.0,,,51.0,49.9776774,19.1977273,"Skidziń, gmina Brzeszcze, powiat oświęcimski, województwo małopolskie, Polska",3341141.0,Q7535095,village,located
010120,24.0,Biala,1.0,Auschwitz,0101,mun,20.0,parent,Stawy Stare,301.0,,196.0,219.0,415.0,412.0,,3.0,,,415.0,,,60.0,50.0203095,19.2216274,"Stare Stawy, Oświęcim, powiat oświęcimski, województwo małopolskie, Polska",31900444.0,,suburb,located
010121,25.0,Biala,1.0,Auschwitz,0101,mun,21.0,parent,Wilczkowice,124.0,,64.0,66.0,130.0,130.0,,,,,130.0,,,28.0,49.98885,19.19284,"Wilczkowice, gmina Brzeszcze, powiat oświęcimski, województwo małopolskie, Polska",3341118.0,Q8000377,village,located
010122,26.0,Biala,1.0,Auschwitz,0101,mun,22.0,parent,Włosienica,413.0,,302.0,348.0,650.0,644.0,,6.0,,,650.0,,,127.0,50.017916,19.3083763,"Włosienica, gmina Oświęcim, powiat oświęcimski, województwo małopolskie, Polska",1776389.0,Q8041361,village,located
010123,27.0,Biala,1.0,Auschwitz,0101,mun,23.0,parent,Zaborze,154.0,,123.0,135.0,258.0,250.0,,8.0,,,258.0,,,42.0,50.0207253,19.2418667,"Zaborze, gmina Oświęcim, powiat oświęcimski, województwo małopolskie, Polska",1776467.0,Q8063569,village,located
010102,28.0,Biala,1.0,Auschwitz,0101,estate,1.0,parent,Babice,114.0,2.0,6.0,3.0,9.0,9.0,,,,,9.0,,,2.0,50.0525108,19.209075,"Babice, gmina Oświęcim, powiat oświęcimski, województwo małopolskie, Polska",1777415.0,Q4837852,village,located
010103,29.0,Biala,1.0,Auschwitz,0101,estate,2.0,parent,Broszkowice,10.0,3.0,,,,,,,,,,,,,50.0577929,19.233114,"Broszkowice, gmina Oświęcim, powiat oświęcimski, województwo małopolskie, Polska",1777416.0,Q2750306,village,located
010105,30.0,Biala,1.0,Auschwitz,0101,estate,3.0,parent,Brzezinka,170.0,5.0,42.0,37.0,79.0,67.0,1.0,6.0,5.0,32.0,27.0,,5.0,5.0,50.0426055,19.1879702,"Brzezinka, gmina Oświęcim, powiat oświęcimski, województwo małopolskie, Polska",1777331.0,Q995437,village,located
010106,31.0,Biala,1.0,Auschwitz,0101,estate,4.0,parent,Dwory,364.0,6.0,25.0,41.0,66.0,66.0,,,,,61.0,,,8.0,50.0433333,19.2633333,"Dwory, Oświęcim, powiat oświęcimski, województwo małopolskie, Polska",3009698649.0,,neighbourhood,located
010107,32.0,Biala,1.0,Auschwitz,0101,estate,5.0,parent,Grojec,921.0,7.0,81.0,83.0,164.0,153.0,,5.0,6.0,12.0,145.0,,,14.0,49.9799303,19.235038,"Grojec, gmina Oświęcim, powiat oświęcimski, województwo małopolskie, Polska",1777281.0,Q5610133,village,located
010108,33.0,Biala,1.0,Auschwitz,0101,estate,6.0,parent,Harmęże,243.0,8.0,5.0,4.0,9.0,4.0,,5.0,,,9.0,,,2.0,50.0182424,19.1535244,"Harmęże, gmina Oświęcim, powiat oświęcimski, województwo małopolskie, Polska",1777306.0,Q2495583,village,located
010110,34.0,Biala,1.0,Auschwitz,0101,estate,7.0,parent,Klucznikowice,458.0,10.0,3.0,3.0,6.0,6.0,,,,,6.0,,,1.0,50.0417304,19.2224991,"Klucznikowice, Oświęcim, powiat oświęcimski, województwo małopolskie, Polska",3009713771.0,,neighbourhood,located
010112,35.0,Biala,1.0,Auschwitz,0101,estate,8.0,parent,Łazy,126.0,12.0,10.0,13.0,23.0,19.0,,4.0,,,23.0,,,3.0,49.9897934,19.2566559,"Łazy, Grojec, gmina Oświęcim, powiat oświęcimski, województwo małopolskie, Polska",2022134115.0,Q8080591,village,located
010113,36.0,Biala,1.0,Auschwitz,0101,estate,9.0,parent,Monowice,441.0,13.0,5.0,9.0,14.0,7.0,,7.0,,,14.0,,,2.0,50.0331874,19.3000429,"Monowice, Oświęcim, powiat oświęcimski, województwo małopolskie, Polska",31901138.0,,suburb,located
010114,37.0,Biala,1.0,Auschwitz,0101,estate,10.0,parent,Pławy,122.0,14.0,6.0,6.0,12.0,12.0,,,,,12.0,,,2.0,50.0271256,19.1701614,"Pławy, gmina Oświęcim, powiat oświęcimski, województwo małopolskie, Polska",1777323.0,Q7265087,village,located
010115,38.0,Biala,1.0,Auschwitz,0101,estate,11.0,parent,Polanka Wielka,610.0,15.0,68.0,73.0,141.0,136.0,1.0,4.0,,,140.0,,,19.0,49.9838274,19.3074201,"Polanka Wielka, gmina Polanka Wielka, powiat oświęcimski, województwo małopolskie, Polska",2387015.0,Q7208969,village,located
010116,39.0,Biala,1.0,Auschwitz,0101,estate,12.0,parent,Poręba Wielka,573.0,16.0,8.0,11.0,19.0,19.0,,,,,18.0,,,5.0,50.0103568,19.2821688,"Poręba Wielka, gmina Oświęcim, powiat oświęcimski, województwo małopolskie, Polska",1776441.0,Q7232910,village,located
010118,40.0,Biala,1.0,Auschwitz,0101,estate,13.0,parent,Rajsko,312.0,18.0,7.0,14.0,21.0,18.0,,3.0,,,21.0,,,5.0,50.00929,19.19097,"Rajsko, gmina Oświęcim, powiat oświęcimski, województwo małopolskie, Polska",1777294.0,Q7286447,village,located
010122,41.0,Biala,1.0,Auschwitz,0101,estate,14.0,parent,Włosienica,258.0,22.0,10.0,13.0,23.0,23.0,,,,,23.0,,,4.0,50.017916,19.3083763,"Włosienica, gmina Oświęcim, powiat oświęcimski, województwo małopolskie, Polska",1776389.0,Q8041361,village,located
010123,42.0,Biala,1.0,Auschwitz,0101,estate,15.0,parent,Zaborze,281.0,23.0,9.0,8.0,17.0,16.0,,,1.0,,6.0,,,3.0,50.0207253,19.2418667,"Zaborze, gmina Oświęcim, powiat oświęcimski, województwo małopolskie, Polska",1776467.0,Q8063569,village,located
010201,43.0,Biala,1.0,Biala,0102,mun,1.0,parent,Bestwina,1356.0,,877.0,908.0,1785.0,1755.0,,29.0,1.0,8.0,1770.0,,,231.0,49.8974396,19.0585799,"Bestwina, gmina Bestwina, powiat bielski, województwo śląskie, Polska",3464504.0,Q3872982,village,located
010202,44.0,Biala,1.0,Biala,0102,mun,2.0,parent,Bestwinka,730.0,,400.0,444.0,844.0,836.0,,2.0,6.0,5.0,837.0,,,134.0,49.9291282,19.0663839,"Bestwinka, gmina Bestwina, powiat bielski, województwo śląskie, Polska",3464074.0,Q4897118,village,located
010202_1,45.0,Biala,1.0,Biala,0102,mun,2.0,ort,Bestwinka,,,328.0,361.0,689.0,681.0,,2.0,6.0,5.0,682.0,,,108.0,49.9291282,19.0663839,"Bestwinka, gmina Bestwina, powiat bielski, województwo śląskie, Polska",3464074.0,Q4897118,village,located
010202_2,46.0,Biala,1.0,Biala,0102,mun,2.0,ort,Kaniów Bestwiński,,,72.0,83.0,155.0,155.0,,,,,155.0,,,26.0,49.93415,19.05034,"Kaniów, gmina Bestwina, powiat bielski, województwo śląskie, Polska",3464067.0,Q11734957,village,located
010203,47.0,Biala,1.0,Biala,0102,mun,3.0,parent,"Biala, Biała",50.0,,3867.0,4390.0,8257.0,6029.0,32.0,1088.0,1108.0,6315.0,1699.0,5.0,238.0,404.0,49.8238661,19.0696717,"Biała Krakowska, Bielsko-Biała, województwo śląskie, Polska",2135697.0,,neighbourhood,located
010203_1,48.0,Biala,1.0,Biala,0102,mun,3.0,ort,"Biala Stadt, Biała Miasto",,,2884.0,3372.0,6256.0,,,,,,,,,328.0,49.8238661,19.0696717,"Biała Krakowska, Bielsko-Biała, województwo śląskie, Polska",2135697.0,,neighbourhood,from_parent
010203_2,49.0,Biala,1.0,Biala,0102,mun,3.0,ort,"Biala Vorstadt, Biała Przedmieście",,,983.0,1018.0,2001.0,,,,,,,,,76.0,49.8238661,19.0696717,"Biała Krakowska, Bielsko-Biała, województwo śląskie, Polska",2135697.0,,neighbourhood,located
010204,50.0,Biala,1.0,Biala,0102,mun,4.0,parent,Bór Łodygowski,,,75.0,78.0,153.0,153.0,,,,,153.0,,,19.0,,,,,,,not_found
010205,51.0,Biala,1.0,Biala,0102,mun,5.0,parent,Bór Wilkowski,,,84.0,92.0,176.0,176.0,,,,,176.0,,,20.0,49.7461868,19.0730573,"Bór Łodygowski, Meszna, gmina Wilkowice, powiat bielski, województwo śląskie, Polska",3009692699.0,,hamlet,located
010206,52.0,Biala,1.0,Biala,0102,mun,6.0,parent,Buczkowice,647.0,,1032.0,1100.0,2132.0,2070.0,,55.0,7.0,38.0,2070.0,,20.0,288.0,49.7285279,19.069148,"Buczkowice, gmina Buczkowice, powiat bielski, województwo śląskie, Polska",3997166.0,Q2723435,village,located
010207,53.0,Biala,1.0,Biala,0102,mun,7.0,parent,Bystra,847.0,,465.0,482.0,947.0,947.0,,,,,947.0,,,118.0,49.7604679,19.0600025,"Bystra, gmina Wilkowice, powiat bielski, województwo śląskie, Polska",2930810.0,Q640109,village,located
010208,54.0,Biala,1.0,Biala,0102,mun,8.0,parent,Dankowice,1139.0,,565.0,727.0,1292.0,1268.0,,24.0,,3.0,1278.0,,,178.0,49.9313095,19.1080522,"Dankowice, gmina Wilamowice, powiat bielski, województwo śląskie, Polska",3465104.0,Q3873002,village,located
010208_1,55.0,Biala,1.0,Biala,0102,mun,8.0,ort,Dankowice,,,463.0,595.0,1058.0,1034.0,,24.0,,3.0,1044.0,,,145.0,49.9313095,19.1080522,"Dankowice, gmina Wilamowice, powiat bielski, województwo śląskie, Polska",3465104.0,Q3873002,village,located
010208_2,56.0,Biala,1.0,Biala,0102,mun,8.0,ort,Kaniów Dankowski,,,102.0,132.0,234.0,234.0,,,,,234.0,,,33.0,49.93415,19.05034,"Kaniów, gmina Bestwina, powiat bielski, województwo śląskie, Polska",3464067.0,Q11734957,village,located
010209,57.0,Biala,1.0,Biala,0102,mun,9.0,parent,Godziszka Nowa,315.0,,113.0,139.0,252.0,252.0,,,,,252.0,,,41.0,49.7128557,19.0753562,"Godziszka, gmina Buczkowice, powiat bielski, województwo śląskie, Polska",3997167.0,Q2117101,village,located
010210,58.0,Biala,1.0,Biala,0102,mun,10.0,parent,Godziszka Stara,,,239.0,251.0,490.0,472.0,,18.0,,,490.0,,,72.0,49.7128557,19.0753562,"Godziszka, gmina Buczkowice, powiat bielski, województwo śląskie, Polska",3997167.0,Q2117101,village,located
010211,59.0,Biala,1.0,Biala,0102,mun,11.0,parent,Godziszka Wilkowska,,,129.0,146.0,275.0,275.0,,,,,275.0,,,40.0,49.7128557,19.0753562,"Godziszka, gmina Buczkowice, powiat bielski, województwo śląskie, Polska",3997167.0,Q2117101,village,located
010212,60.0,Biala,1.0,Biala,0102,mun,12.0,parent,Hałcnów,835.0,,1224.0,1392.0,2616.0,2604.0,1.0,11.0,,1980.0,635.0,,,284.0,49.8531472,19.0929298,"Hałcnów, Bielsko-Biała, województwo śląskie, Polska",2135700.0,,neighbourhood,located
010213,61.0,Biala,1.0,Biala,0102,mun,13.0,parent,Hueisko,186.0,,110.0,99.0,209.0,209.0,,,,,209.0,,,27.0,,,,,,,not_found
010214,62.0,Biala,1.0,Biala,0102,mun,14.0,parent,Janowice,708.0,,376.0,397.0,773.0,773.0,,,,1.0,772.0,,,119.0,49.8875279,19.0913719,"Janowice, gmina Bestwina, powiat bielski, województwo śląskie, Polska",3464505.0,Q6155350,village,located
010215,63.0,Biala,1.0,Biala,0102,mun,15.0,parent,Kalna,83.0,,177.0,216.0,393.0,393.0,,,,,393.0,,,60.0,49.7087333,19.1043148,"Kalna, gmina Buczkowice, powiat bielski, województwo śląskie, Polska",3997168.0,Q2303892,village,located
010216,64.0,Biala,1.0,Biala,0102,mun,16.0,parent,Kaniów Stary,981.0,,473.0,503.0,976.0,951.0,,11.0,14.0,14.0,960.0,,,140.0,49.93415,19.05034,"Kaniów, gmina Bestwina, powiat bielski, województwo śląskie, Polska",3464067.0,Q11734957,village,located
010217,65.0,Biala,1.0,Biala,0102,mun,17.0,parent,Komorowice,1109.0,,1314.0,1423.0,2737.0,2661.0,,73.0,3.0,110.0,2615.0,,1.0,231.0,49.8646806,19.0579025,"Komorowice Krakowskie, Bielsko-Biała, województwo śląskie, Polska",2135701.0,,neighbourhood,located
010217_1,66.0,Biala,1.0,Biala,0102,mun,17.0,ort,Bark,,,234.0,231.0,465.0,445.0,,20.0,,23.0,442.0,,,41.0,49.8646806,19.0579025,"Komorowice Krakowskie, Bielsko-Biała, województwo śląskie, Polska",2135701.0,,neighbourhood,from_parent
010217_2,67.0,Biala,1.0,Biala,0102,mun,17.0,ort,Komorowice,,,1080.0,1192.0,2272.0,2216.0,,53.0,3.0,87.0,2173.0,,1.0,190.0,49.8646806,19.0579025,"Komorowice Krakowskie, Bielsko-Biała, województwo śląskie, Polska",2135701.0,,neighbourhood,located
010218,68.0,Biala,1.0,Biala,0102,mun,18.0,parent,Kozy,1358.0,,1801.0,1892.0,3693.0,3646.0,1.0,40.0,6.0,8.0,3683.0,,1.0,403.0,49.8462862,19.145175,"Kozy, gmina Kozy, powiat bielski, województwo śląskie, Polska",3539467.0,Q159573,village,located
010219,69.0,Biala,1.0,Biala,0102,mun,19.0,parent,Lipnik,2076.0,,3978.0,4439.0,8417.0,6855.0,2.0,508.0,1052.0,5552.0,2751.0,,20.0,462.0,49.8241561,19.1021177,"Lipnik, Bielsko-Biała, województwo śląskie, Polska",2135703.0,,neighbourhood,located
010219_1,70.0,Biala,1.0,Biala,0102,mun,19.0,ort,Leszczyny,,,355.0,419.0,774.0,641.0,,13.0,120.0,500.0,267.0,,6.0,36.0,49.8034722,19.0721471,"Leszczyny, Bielsko-Biała, województwo śląskie, Polska",2135595.0,,neighbourhood,located
010219_2,71.0,Biala,1.0,Biala,0102,mun,19.0,ort,Lipnik,,,3623.0,4020.0,7643.0,6214.0,2.0,495.0,932.0,5052.0,2484.0,,14.0,426.0,49.8241561,19.1021177,"Lipnik, Bielsko-Biała, województwo śląskie, Polska",2135703.0,,neighbourhood,located
010220,72.0,Biala,1.0,Biala,0102,mun,20.0,parent,Meszna,184.0,,191.0,197.0,388.0,388.0,,,,,388.0,,,53.0,49.7463661,19.0631085,"Meszna, gmina Wilkowice, powiat bielski, województwo śląskie, Polska",2930812.0,Q2132174,village,located
010221,73.0,Biala,1.0,Biala,0102,mun,21.0,parent,Międzybrodzie Lipnickie,1817.0,,711.0,790.0,1501.0,1495.0,,6.0,,,1501.0,,,215.0,49.7874542,19.1942895,"Międzybrodzie Bialskie, gmina Czernichów, powiat żywiecki, województwo śląskie, Polska",3542099.0,Q847518,village,located
010222,74.0,Biala,1.0,Biala,0102,mun,22.0,parent,Mikuszowice,345.0,,513.0,547.0,1060.0,998.0,,5.0,57.0,84.0,976.0,,,94.0,49.7862375,19.0836233,"Mikuszowice Krakowskie, Bielsko-Biała, województwo śląskie, Polska",2135592.0,,neighbourhood,located
010223,75.0,Biala,1.0,Biala,0102,mun,23.0,parent,Rybarzowice,780.0,,742.0,730.0,1472.0,1461.0,,11.0,,,1465.0,,,221.0,49.7300309,19.0958566,"Rybarzowice, gmina Buczkowice, powiat bielski, województwo śląskie, Polska",3997169.0,Q7384724,village,located
010224,76.0,Biala,1.0,Biala,0102,mun,24.0,parent,Salmopol,,,89.0,80.0,169.0,50.0,,,119.0,,169.0,,,33.0,49.68,18.9652778,"Salmopol, Suche, Szczyrk, powiat bielski, województwo śląskie, Polska",3009748234.0,,neighbourhood,located
010225,77.0,Biala,1.0,Biala,0102,mun,25.0,parent,Straconka,1292.0,,773.0,803.0,1576.0,1576.0,,,,10.0,1530.0,,12.0,137.0,49.7969679,19.0930689,"Straconka, Bielsko-Biała, województwo śląskie, Polska",2135707.0,,neighbourhood,located
010226,78.0,Biala,1.0,Biala,0102,mun,26.0,parent,Szczyrk,1896.0,,1216.0,1249.0,2465.0,2448.0,,13.0,4.0,9.0,2455.0,,,411.0,49.7165976,19.0254613,"Szczyrk, powiat bielski, województwo śląskie, Polska",2705740.0,Q581609,town,located
010227,79.0,Biala,1.0,Biala,0102,mun,27.0,parent,Wilkowice,469.0,,1163.0,1244.0,2407.0,2389.0,,18.0,,,2404.0,,,274.0,49.7626335,19.0928616,"Wilkowice, gmina Wilkowice, powiat bielski, województwo śląskie, Polska",2930813.0,Q1959972,village,located
010206,80.0,Biala,1.0,Biala,0102,estate,1.0,parent,Buczkowice,6.0,6.0,9.0,17.0,26.0,20.0,,,6.0,16.0,9.0,,1.0,4.0,49.7285279,19.069148,"Buczkowice, gmina Buczkowice, powiat bielski, województwo śląskie, Polska",3997166.0,Q2723435,village,located
010212,81.0,Biala,1.0,Biala,0102,estate,2.0,parent,Hałcnów,176.0,12.0,18.0,35.0,53.0,48.0,,,5.0,6.0,43.0,,,4.0,49.8531472,19.0929298,"Hałcnów, Bielsko-Biała, województwo śląskie, Polska",2135700.0,,neighbourhood,located
010218,82.0,Biala,1.0,Biala,0102,estate,3.0,parent,Kozy,745.0,18.0,74.0,86.0,160.0,155.0,,,5.0,2.0,154.0,,,8.0,49.8462862,19.145175,"Kozy, gmina Kozy, powiat bielski, województwo śląskie, Polska",3539467.0,Q159573,village,located
010222,83.0,Biala,1.0,Biala,0102,estate,4.0,parent,Mikuszowice,37.0,22.0,8.0,11.0,19.0,16.0,,3.0,,4.0,14.0,,,3.0,49.7862375,19.0836233,"Mikuszowice Krakowskie, Bielsko-Biała, województwo śląskie, Polska",2135592.0,,neighbourhood,located
010223,84.0,Biala,1.0,Biala,0102,estate,5.0,parent,Rybarzowice,105.0,23.0,27.0,37.0,64.0,64.0,,,,,64.0,,,2.0,49.7300309,19.0958566,"Rybarzowice, gmina Buczkowice, powiat bielski, województwo śląskie, Polska",3997169.0,Q7384724,village,located
010226,85.0,Biala,1.0,Biala,0102,estate,6.0,parent,Szczyrk,2011.0,26.0,6.0,9.0,15.0,12.0,,,3.0,5.0,10.0,,,3.0,49.7165976,19.0254613,"Szczyrk, powiat bielski, województwo śląskie, Polska",2705740.0,Q581609,town,located
010227,86.0,Biala,1.0,Biala,0102,estate,7.0,parent,Wilkowice,925.0,27.0,12.0,10.0,22.0,17.0,2.0,3.0,,9.0,13.0,,,4.0,49.7626335,19.0928616,"Wilkowice, gmina Wilkowice, powiat bielski, województwo śląskie, Polska",2930813.0,Q1959972,village,located
010301,87.0,Biala,1.0,Kęty,0103,mun,1.0,parent,Bielany,832.0,,458.0,542.0,1000.0,1000.0,,,,,1000.0,,,170.0,49.9387217,19.2040044,"Bielany, gmina Kęty, powiat oświęcimski, województwo małopolskie, Polska",3368834.0,Q3725004,village,located
010301_1,88.0,Biala,1.0,Kęty,0103,mun,1.0,ort,Bielany,,,294.0,367.0,661.0,661.0,,,,,661.0,,,114.0,49.9387217,19.2040044,"Bielany, gmina Kęty, powiat oświęcimski, województwo małopolskie, Polska",3368834.0,Q3725004,village,located
010301_2,89.0,Biala,1.0,Kęty,0103,mun,1.0,ort,Zasolany,,,164.0,175.0,339.0,339.0,,,,,339.0,,,56.0,49.9387217,19.2040044,"Bielany, gmina Kęty, powiat oświęcimski, województwo małopolskie, Polska",3368834.0,Q3725004,village,from_parent
010302,90.0,Biala,1.0,Kęty,0103,mun,2.0,parent,Bujaków,442.0,,512.0,618.0,1130.0,1123.0,,7.0,,,1130.0,,,132.0,49.84991,19.19367,"Bujaków, gmina Porąbka, powiat bielski, województwo śląskie, Polska",3542086.0,Q3958231,village,located
010303,91.0,Biala,1.0,Kęty,0103,mun,3.0,parent,Bulowice,1348.0,,1228.0,1285.0,2513.0,2453.0,,60.0,,,2510.0,,,376.0,49.8773139,19.2805376,"Bulowice, gmina Kęty, powiat oświęcimski, województwo małopolskie, Polska",3369187.0,Q2326321,village,located
010304,92.0,Biala,1.0,Kęty,0103,mun,4.0,parent,Czaniec,1729.0,,1221.0,1336.0,2557.0,2501.0,,50.0,6.0,11.0,2543.0,,2.0,413.0,49.84875,19.26204,"Czaniec, gmina Porąbka, powiat bielski, województwo śląskie, Polska",3541931.0,Q664930,village,located
010305,93.0,Biala,1.0,Kęty,0103,mun,5.0,parent,Hecznarowice,684.0,,388.0,452.0,840.0,829.0,,11.0,,,840.0,,,128.0,49.9017812,19.1677071,"Hecznarowice, gmina Wilamowice, powiat bielski, województwo śląskie, Polska",3465289.0,Q2962943,village,located
010306,94.0,Biala,1.0,Kęty,0103,mun,6.0,parent,Kańczuga,52.0,,150.0,176.0,326.0,315.0,,11.0,,,326.0,,,56.0,49.882908,19.2239362,"Kęty, gmina Kęty, powiat oświęcimski, województwo małopolskie, Polska",2763101.0,Q773227,town,not_found
